0
15
15
_, _, _, _, _, _, _, _, _, _, _, _, _, _, _
_, d, b, m, b, l, b, c, c, b, b, b, h, c, _
_, b, _, b, _, b, _, b, _, o, _, b, _, n, _
_, c, m, n, b, c, b, b, b, b, c, b, c, c, _
_, b, _, b, _, b, _, b, _, o, _, b, _, b, _
_, b, b, n, c, c, b, b, b, g, b, c, b, b, _
_, c, _, b, _, b, _, b, _, b, _, b, _, b, _
_, b, c, c, b, f, c, c, b, c, b, c, o, b, _
_, c, _, b, _, b, _, b, _, b, _, j, _, m, _
_, i, b, b, n, b, c, m, b, c, b, c, b, b, _
_, b, _, b, _, c, _, c, _, b, _, c, _, b, _
_, b, c, k, b, b, b, b, o, b, b, n, c, b, _
_, m, _, o, _, c, _, c, _, b, _, b, _, b, _
_, b, b, c, e, b, b, c, b, c, c, b, b, c, _
_, _, _, _, _, _, _, _, _, _, _, _, _, _, _
